Country Name,Country Code,2012
Aruba,ABW,102577
Afghanistan,AFG,30696958
Angola,AGO,25096150
Albania,ALB,2900401
Andorra,AND,82431
Arab World,ARB,373306993
United Arab Emirates,ARE,8900453
Argentina,ARG,42096739
Armenia,ARM,2881922
American Samoa,ASM,55230
Antigua and Barbuda,ATG,96777
Australia,AUS,22728254
Austria,AUT,8429991
Azerbaijan,AZE,9295784
Burundi,BDI,9319710
Belgium,BEL,11128246
Benin,BEN,9729160
Burkina Faso,BFA,16571216
Bangladesh,BGD,155727053
Bulgaria,BGR,7305888
Bahrain,BHR,1300217
"Bahamas, The",BHS,372039
Bosnia and Herzegovina,BIH,3648200
Belarus,BLR,9464495
Belize,BLZ,336701
Bermuda,BMU,64798
Bolivia,BOL,10239004
Brazil,BRA,200560983
Barbados,BRB,281585
Brunei Darussalam,BRN,399748
Bhutan,BTN,752967
Botswana,BWA,2089315
Central African Republic,CAF,4490416
Canada,CAN,34750545
Central Europe and the Baltics,CEB,103935318
Switzerland,CHE,7996861
Channel Islands,CHI,161358
Chile,CHL,17309746
China,CHN,1350695000
Cote d'Ivoire,CIV,21418603
Cameroon,CMR,21082383
"Congo, Dem. Rep.",COD,68978682
"Congo, Rep.",COG,4633363
Colombia,COL,46881475
Comoros,COM,723868
Cabo Verde,CPV,513979
Costa Rica,CRI,4654122
Caribbean small states,CSS,7074129
Cuba,CUB,11382146
Curacao,CUW,152088
Cayman Islands,CYM,57523
Cyprus,CYP,1135062
Czech Republic,CZE,10510785
Germany,DEU,80425823
Djibouti,DJI,881185
Dominica,DMA,72044
Denmark,DNK,5591572
Dominican Republic,DOM,10154950
Algeria,DZA,37565847
East Asia & Pacific (excluding high income),EAP,1993008684
Early-demographic dividend,EAR,2996573424
East Asia & Pacific,EAS,2235430359
Europe & Central Asia (excluding high income),ECA,407706585
Europe & Central Asia,ECS,894666669
Ecuador,ECU,15419666
"Egypt, Arab Rep.",EGY,87813257
Euro area,EMU,336167296
Eritrea,ERI,
Spain,ESP,46773055
Estonia,EST,1322696
Ethiopia,ETH,92444183
European Union,EUU,505104334
Fragile and conflict affected situations,FCS,460228236
Finland,FIN,5413971
Fiji,FJI,873596
France,FRA,65659790
Faroe Islands,FRO,48666
"Micronesia, Fed. Sts.",FSM,103503
Gabon,GAB,1756817
United Kingdom,GBR,63700300
Georgia,GEO,3825000
Ghana,GHA,25733049
Gibraltar,GIB,33623
Guinea,GIN,11281469
"Gambia, The",GMB,1802125
Guinea-Bissau,GNB,1638139
Equatorial Guinea,GNQ,1038593
Greece,GRC,11045011
Grenada,GRD,105481
Greenland,GRL,56810
Guatemala,GTM,15271056
Guam,GUM,159973
Guyana,GUY,753091
High income,HIC,1161900127
"Hong Kong SAR, China",HKG,7154600
Honduras,HND,8505646
Heavily indebted poor countries (HIPC),HPC,666488623
Croatia,HRV,4267558
Haiti,HTI,10289210
Hungary,HUN,9920362
IBRD only,IBD,4517416870
IDA & IBRD total,IBT,5955531931
IDA total,IDA,1438115061
IDA blend,IDB,474993526
Indonesia,IDN,248883232
IDA only,IDX,963121535
Isle of Man,IMN,81406
India,IND,1263065852
Not classified,INX,
Ireland,IRL,4586897
"Iran, Islamic Rep.",IRN,76453574
Iraq,IRQ,32776571
Iceland,ISL,320716
Israel,ISR,7910500
Italy,ITA,59539717
Jamaica,JAM,2840992
Jordan,JOR,7992573
Japan,JPN,127629000
Kazakhstan,KAZ,16791425
Kenya,KEN,43646629
Kyrgyz Republic,KGZ,5607200
Cambodia,KHM,14776866
Kiribati,KIR,106613
St. Kitts and Nevis,KNA,52591
"Korea, Rep.",KOR,50199853
Kuwait,KWT,3395556
Latin America & Caribbean (excluding high income),LAC,583515410
Lao PDR,LAO,6415169
Lebanon,LBN,4916404
Liberia,LBR,4181563
Libya,LBY,6198258
St. Lucia,LCA,174835
